,id,loglin,param,value
619,81,log,tlag,0.21211425368130424
620,81,lin,N0,0.0187165775401066
621,81,lin,Nmax,0.36631016042780695
622,81,lin,rmax,0.44119826261225953
623,81,lin,tlag,0
624,82,log,N0,-1.96964884048069
625,82,log,Nmax,-0.165168651374733
626,82,log,rmax,0.6431072625174414
627,82,log,tlag,1.1991404214035348
628,82,lin,N0,0.0107238605898132
629,82,lin,Nmax,0.6836461126005361
630,82,lin,rmax,0.6791332877517873
631,82,lin,tlag,0
632,83,log,N0,-1.53147891704225
633,83,log,Nmax,-0.0871501757189003
634,83,log,rmax,0.8161949209566386
635,83,log,tlag,1.2760142586203533
636,83,lin,N0,0.0294117647058827
637,83,lin,Nmax,0.818181818181818
638,83,lin,rmax,0.6273176607394346
639,83,lin,tlag,0
640,84,log,N0,-1.87390159786445
641,84,log,Nmax,-0.856868258565682
642,84,log,rmax,0.3297051620404254
643,84,log,tlag,0.5668296498836751
644,84,lin,N0,0.0133689839572195
645,84,lin,Nmax,0.13903743315508
646,84,lin,rmax,0.5178106900834669
647,84,lin,tlag,0
648,85,log,N0,-2.2718416065365
649,85,log,Nmax,-0.78754176718971
650,85,log,rmax,0.5171700895378553
651,85,log,tlag,0.22381491697071182
652,85,lin,N0,0.00534759358288772
653,85,lin,Nmax,0.163101604278076
654,85,lin,rmax,0.6391242654022088
655,85,lin,tlag,0
656,86,log,N0,-1.3967803431448
657,86,log,Nmax,-0.0401172232079824
658,86,log,rmax,0.9450482132060651
659,86,log,tlag,0.27943272195353
660,86,lin,N0,0.0401069518716572
661,86,lin,Nmax,0.911764705882353
662,86,lin,rmax,1.7096514699905014
663,86,lin,tlag,0.28251189927838133
664,87,log,N0,-2.2718416065365
665,87,log,Nmax,-0.4236524895451
666,87,log,rmax,0.608075146518614
667,87,log,tlag,0.4096507419114998
668,87,lin,N0,0.00534759358288772
669,87,lin,Nmax,0.37700534759358295
670,87,lin,rmax,0.7137272796509536
671,87,lin,tlag,0.30185618068678427
672,88,log,N0,-1.72777356218624
673,88,log,Nmax,-0.19266036048887397
674,88,log,rmax,0.4705946172470912
675,88,log,tlag,0.38681701200436175
676,88,lin,N0,0.0187165775401064
677,88,lin,Nmax,0.6417112299465251
678,88,lin,rmax,0.7152904099158165
679,88,lin,tlag,0
680,89,log,N0,2.16349770157069
681,89,log,Nmax,4.29445882712152
682,89,log,rmax,0.02140951008031703
683,89,log,tlag,153.55785961062801
684,89,lin,N0,145.712799310917
685,89,lin,Nmax,19699.6643755473
686,89,lin,rmax,0.007887125899504107
687,89,lin,tlag,0
688,90,log,N0,2.19480617212902
689,90,log,Nmax,4.3480166672011205
690,90,log,rmax,0.013979832581468616
691,90,log,tlag,118.51715354658434
692,90,lin,N0,156.605197702724
693,90,lin,Nmax,22285.20673013
694,90,lin,rmax,0.0062108529277759795
695,90,lin,tlag,0
696,91,log,N0,3.00406497246917
697,91,log,Nmax,4.33496871963122
698,91,log,rmax,0.010973877201704924
699,91,log,tlag,168.58567123682533
700,91,lin,N0,1009.4038862852199
701,91,lin,Nmax,21625.6275799762
702,91,lin,rmax,0.010132429461998445
703,91,lin,tlag,0
704,92,log,N0,2.06825693341766
705,92,log,Nmax,4.42938383628112
706,92,log,rmax,0.014486874773045513
707,92,log,tlag,20.063069194309502
708,92,lin,N0,117.01914844961
709,92,lin,Nmax,26877.188443477902
710,92,lin,rmax,0.0045495632602160175
711,92,lin,tlag,0
712,93,log,N0,2.69018521810932
713,93,log,Nmax,4.30567543626702
714,93,log,rmax,0.006463635247516896
715,93,log,tlag,0
716,93,lin,N0,489.987745011575
717,93,lin,Nmax,20215.0786919774
718,93,lin,rmax,0.005495273070626032
719,93,lin,tlag,0
720,94,log,N0,2.57929598566024
721,94,log,Nmax,4.303339101832201
722,94,log,rmax,0.017058442001100082
723,94,log,tlag,60.92277933713666
724,94,lin,N0,379.573588451414
725,94,lin,Nmax,20106.6214661967
726,94,lin,rmax,0.007940190883706202
727,94,lin,tlag,0
728,95,log,N0,3.0686661312484103
729,95,log,Nmax,4.379002092788331
730,95,log,rmax,0.00921533617585357
731,95,log,tlag,36.358365939349994
732,95,lin,N0,1171.2945735114
733,95,lin,Nmax,23933.272893986697
734,95,lin,rmax,0.00559952732217369
735,95,lin,tlag,0
736,96,log,N0,2.7658605026749905
737,96,log,Nmax,4.37968770843007
738,96,log,rmax,0.01460670802423526
739,96,log,tlag,73.84253751427795
740,96,lin,N0,583.2577291979251
741,96,lin,Nmax,23971.085912863196
742,96,lin,rmax,0.005906793936060826
743,96,lin,tlag,0
744,97,log,N0,2.39378587876105
745,97,log,Nmax,4.32284538433691
746,97,log,rmax,0.019791628812232617
747,97,log,tlag,80.98442774530125
748,97,lin,N0,247.620090941506
749,97,lin,Nmax,21030.295948766798
750,97,lin,rmax,0.003747364069241517
751,97,lin,tlag,0
752,98,log,N0,2.25921948419838
753,98,log,Nmax,4.33757985231902
754,98,log,rmax,0.024993597466384142
755,98,log,tlag,73.31207478592697
