"","Time","PopBio","Temp","Time_units","PopBio_unts","Species","Medium","Rep","Citation"
"15252",690,0.156,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15253",720,0.159,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15254",750,0.162,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15255",780,0.165,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15256",810,0.168,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15257",840,0.17,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15258",870,0.172,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15259",900,0.173,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15260",930,0.175,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15261",960,0.177,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15262",990,0.179,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15263",1020,0.179,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15264",1050,0.181,35,"Hours","Absorbance (600nm) continuous","Chryseobacterium(2)","10% LB broth",4,"Smith_et_al"
"15265",0,0.097,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15266",30,0.096,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15267",60,0.096,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15268",90,0.097,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15269",120,0.098,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15270",150,0.099,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15271",180,0.101,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15272",210,0.103,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15273",240,0.106,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15274",270,0.108,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15275",300,0.112,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15276",330,0.115,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15277",360,0.118,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15278",390,0.123,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15279",420,0.126,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15280",450,0.129,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15281",480,0.133,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15282",510,0.136,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15283",540,0.139,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15284",570,0.142,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15285",600,0.145,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15286",630,0.148,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15287",660,0.15,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15288",690,0.152,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15289",720,0.155,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15290",750,0.157,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15291",780,0.159,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15292",810,0.161,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15293",840,0.162,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15294",870,0.165,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15295",900,0.167,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15296",930,0.169,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15297",960,0.171,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15298",990,0.173,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15299",1020,0.175,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15300",1050,0.176,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",1,"Smith_et_al"
"15301",0,0.112,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15302",30,0.109,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15303",60,0.109,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15304",90,0.109,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15305",120,0.11,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15306",150,0.112,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15307",180,0.112,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15308",210,0.114,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15309",240,0.117,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15310",270,0.119,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15311",300,0.122,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15312",330,0.124,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15313",360,0.128,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15314",390,0.131,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15315",420,0.135,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15316",450,0.139,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15317",480,0.142,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15318",510,0.145,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15319",540,0.147,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15320",570,0.15,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15321",600,0.154,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15322",630,0.156,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15323",660,0.158,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15324",690,0.16,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15325",720,0.161,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15326",750,0.164,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15327",780,0.167,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15328",810,0.17,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15329",840,0.172,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15330",870,0.175,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15331",900,0.176,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15332",930,0.181,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15333",960,0.18,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15334",990,0.182,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15335",1020,0.184,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
"15336",1050,0.185,35,"Hours","Absorbance (600nm) continuous","Paenibacillus(1)","10% LB broth",2,"Smith_et_al"
